id,key,name,synonyms,code,born_at,city_id,state_id,country_id,nationality_id,created_at,updated_at
346,keller,Keller,,,,,,,,2018-07-17 10:56:58.026302,2018-07-17 10:56:58.026302
347,nyberg,Nyberg,,,,,,,,2018-07-17 10:56:58.030393,2018-07-17 10:56:58.030393
348,colaussi,Colaussi,,,,,,,,2018-07-17 10:56:58.045523,2018-07-17 10:56:58.045523
349,heisserer,Heisserer,,,,,,,,2018-07-17 10:56:58.048844,2018-07-17 10:56:58.048844
350,kopecky,Kopecký,,,,,,,,2018-07-17 10:56:58.062372,2018-07-17 10:56:58.062372
351,jacobsson,Jacobsson,,,,,,,,2018-07-17 10:56:58.081891,2018-07-17 10:56:58.081891
352,titkos,Titkos,,,,,,,,2018-07-17 10:56:58.084646,2018-07-17 10:56:58.084646
353,ademir,Ademir,,,,,,,,2018-07-17 10:56:58.242317,2018-07-17 10:56:58.242317
354,jair,Jair,,,,,,,,2018-07-17 10:56:58.245260,2018-07-17 10:56:58.245260
355,baltazar,Baltazar,,,,,,,,2018-07-17 10:56:58.248106,2018-07-17 10:56:58.248106
356,mitic,Mitić,,,,,,,,2018-07-17 10:56:58.279804,2018-07-17 10:56:58.279804
357,tomasevic,Tomašević,,,,,,,,2018-07-17 10:56:58.282826,2018-07-17 10:56:58.282826
358,ognjanov,Ognjanov,,,,,,,,2018-07-17 10:56:58.285684,2018-07-17 10:56:58.285684
359,fatton,Fatton,,,,,,,,2018-07-17 10:56:58.318282,2018-07-17 10:56:58.318282
360,bobek,Bobek,,,,,,,,2018-07-17 10:56:58.334481,2018-07-17 10:56:58.334481
361,zcajkovski,Ž. Čajkovski,,,,,,,,2018-07-17 10:56:58.341006,2018-07-17 10:56:58.341006
362,ortiz,Ortiz,,,,,,,,2018-07-17 10:56:58.346799,2018-07-17 10:56:58.346799
363,zizinho,Zizinho,,,,,,,,2018-07-17 10:56:58.381863,2018-07-17 10:56:58.381863
364,bader,Bader,,,,,,,,2018-07-17 10:56:58.416208,2018-07-17 10:56:58.416208
365,antenen,Antenen,,,,,,,,2018-07-17 10:56:58.419096,2018-07-17 10:56:58.419096
366,casarin,Casarín,,,,,,,,2018-07-17 10:56:58.421854,2018-07-17 10:56:58.421854
367,mortensen,Mortensen,,,,,,,,2018-07-17 10:56:58.434647,2018-07-17 10:56:58.434647
368,mannion,Mannion,,,,,,,,2018-07-17 10:56:58.439173,2018-07-17 10:56:58.439173
369,pariani,Pariani,,,,,,,,2018-07-17 10:56:58.451129,2018-07-17 10:56:58.451129
370,igoa,Igoa,,,,,,,,2018-07-17 10:56:58.454031,2018-07-17 10:56:58.454031
371,basora,Basora,,,,,,,,2018-07-17 10:56:58.456781,2018-07-17 10:56:58.456781
372,zarra,Zarra,,,,,,,,2018-07-17 10:56:58.459610,2018-07-17 10:56:58.459610
373,gaetjens,Gaetjens,,,,,,,,2018-07-17 10:56:58.506727,2018-07-17 10:56:58.506727
374,robledo,Robledo,,,,,,,,2018-07-17 10:56:58.535116,2018-07-17 10:56:58.535116
375,riera,Riera,,,,,,,,2018-07-17 10:56:58.538984,2018-07-17 10:56:58.538984
376,wallace,Wallace,,,,,,,,2018-07-17 10:56:58.541719,2018-07-17 10:56:58.541719
377,maca,Maca,,,,,,,,2018-07-17 10:56:58.544472,2018-07-17 10:56:58.544472
378,cremaschi,Cremaschi,,,,,,,,2018-07-17 10:56:58.547265,2018-07-17 10:56:58.547265
379,prieto,Prieto,,,,,,,,2018-07-17 10:56:58.550040,2018-07-17 10:56:58.550040
380,carapellese,Carapellese,,,,,,,,2018-07-17 10:56:58.564376,2018-07-17 10:56:58.564376
381,jeppson,Jeppson,,,,,,,,2018-07-17 10:56:58.569187,2018-07-17 10:56:58.569187
382,muccinelli,Muccinelli,,,,,,,,2018-07-17 10:56:58.575382,2018-07-17 10:56:58.575382
383,sundqvist,Sundqvist,,,,,,,,2018-07-17 10:56:58.587029,2018-07-17 10:56:58.587029
384,palmer,Palmér,,,,,,,,2018-07-17 10:56:58.589827,2018-07-17 10:56:58.589827
385,lopezfretes,López Fretes,,,,,,,,2018-07-17 10:56:58.595668,2018-07-17 10:56:58.595668
386,pandolfini,Pandolfini,,,,,,,,2018-07-17 10:56:58.610267,2018-07-17 10:56:58.610267
387,miguez,Míguez,,,,,,,,2018-07-17 10:56:58.624686,2018-07-17 10:56:58.624686
388,schiaffino,Schiaffino,,,,,,,,2018-07-17 10:56:58.630830,2018-07-17 10:56:58.630830
389,ghiggia,Ghiggia,,,,,,,,2018-07-17 10:56:58.642071,2018-07-17 10:56:58.642071
390,varela,Varela,,,,,,,,2018-07-17 10:56:58.669938,2018-07-17 10:56:58.669938
391,chico,Chico,,,,,,,,2018-07-17 10:56:58.685310,2018-07-17 10:56:58.685310
392,maneca,Maneca,,,,,,,,2018-07-17 10:56:58.692798,2018-07-17 10:56:58.692798
393,parra,Parra,,,,,,,,2018-07-17 10:56:58.710099,2018-07-17 10:56:58.710099
394,mellberg,Mellberg,,,,,,,,2018-07-17 10:56:58.749106,2018-07-17 10:56:58.749106
395,friaca,Friaça,,,,,,,,2018-07-17 10:56:58.763438,2018-07-17 10:56:58.763438
396,marcelo,Marcelo,,,,,,,,2018-07-17 10:57:16.365362,2018-07-17 10:57:16.365362
397,neymar,Neymar,,,,,,,,2018-07-17 10:57:16.368232,2018-07-17 10:57:16.368232
398,oribeperalta,Oribe Peralta,,,,,,,,2018-07-17 10:57:16.383107,2018-07-17 10:57:16.383107
399,ivicaolic,Ivica Olić,,,,,,,,2018-07-17 10:57:16.404030,2018-07-17 10:57:16.404030
400,ivanperisic,Ivan Perišić,,,,,,,,2018-07-17 10:57:16.406932,2018-07-17 10:57:16.406932
401,mariomandzukic,Mario Mandžukić,,,,,,,,2018-07-17 10:57:16.409951,2018-07-17 10:57:16.409951
402,joelmatip,Joel Matip,,,,,,,,2018-07-17 10:57:16.428046,2018-07-17 10:57:16.428046
403,fernandinho,Fernandinho,,,,,,,,2018-07-17 10:57:16.433728,2018-07-17 10:57:16.433728
404,rafaelmarquez,Rafael Márquez,,,,,,,,2018-07-17 10:57:16.449167,2018-07-17 10:57:16.449167
405,andresguardado,Andres Guardado,,,,,,,,2018-07-17 10:57:16.454312,2018-07-17 10:57:16.454312
406,javierhernandez,Javier Hernández,,,,,,,,2018-07-17 10:57:16.458954,2018-07-17 10:57:16.458954
407,xabialonso,Xabi Alonso,,,,,,,,2018-07-17 10:57:16.472572,2018-07-17 10:57:16.472572
408,robinvanpersie,Robin Van Persie,,,,,,,,2018-07-17 10:57:16.475397,2018-07-17 10:57:16.475397
409,arjenrobben,Arjen Robben,,,,,,,,2018-07-17 10:57:16.478262,2018-07-17 10:57:16.478262
410,stefandevrij,Stefan De Vrij,,,,,,,,2018-07-17 10:57:16.481130,2018-07-17 10:57:16.481130
